# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./Fixed_analysis/mm10.refGene.gtf" "-o" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/mT5-RNAseq_gene_counts_fixed.txt" "-t" "exon" "-g" "gene_id" "-T" "8" "-p" "-s" "0" "--ignoreDup" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam" 
Geneid	Chr	Start	End	Strand	Length	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam
Tcerg1	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	42511487;42511487;42511487;42511487;42519368;42519368;42519368;42519368;42522914;42522914;42522914;42522914;42523893;42523893;42523893;42523893;42530648;42530648;42530648;42530648;42535085;42535085;42536178;42536178;42536178;42536178;42536862;42536862;42536862;42536862;42537968;42537968;42537968;42537968;42548397;42548397;42548397;42548397;42549838;42549838;42549838;42549838;42550042;42550042;42550042;42550042;42551110;42552492;42552492;42552492;42552492;42553408;42553408;42553408;42553408;42560934;42560934;42560934;42560934;42564083;42564083;42564083;42564083;42567871;42567871;42567871;42567871;42568428;42568428;42568428;42568428;42571015;42571015;42571015;42571015;42571824;42571824;42571824;42571824;42573260;42573260;42573260;42573260;42574160;42574518;42574518;42574518;42574518	42511585;42511585;42511585;42511585;42519593;42519593;42519593;42519593;42523066;42523066;42523066;42523066;42524352;42524352;42524352;42524352;42530890;42530890;42530890;42530890;42535147;42535147;42536378;42536378;42536378;42536378;42536974;42536974;42536974;42536974;42538056;42538056;42538056;42538056;42548557;42548557;42548557;42548557;42549894;42549894;42549894;42549894;42550108;42550108;42550108;42550108;42551160;42552627;42552627;42552627;42552627;42553497;42553497;42553497;42553497;42561052;42561052;42561052;42561052;42564233;42564233;42564233;42564233;42568035;42568035;42568035;42568035;42568610;42568610;42568610;42568610;42571194;42571194;42571194;42571194;42571907;42571907;42571907;42571907;42573360;42573360;42573360;42573360;42574253;42575785;42575785;42575785;42575785	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4554	3970	4422	4061	6649	8473	7886
Zfp712	chr13;chr13;chr13;chr13	67038594;67044758;67052287;67061063	67042232;67044853;67052413;67061170	-;-;-;-	3970	760	830	577	766	633	861
Fam129c	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	71597646;71599078;71600070;71600415;71602099;71602373;71602561;71602764;71603637;71603921;71604738;71604928;71605607;71606661;71607541	71597823;71599208;71600195;71600529;71602266;71602488;71602665;71602926;71603827;71604079;71604854;71605035;71605718;71606744;71608149	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2482	499	398	325	394	519	644
Atp5g3	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	73908447;73908447;73908447;73909184;73909184;73909227;73909864;73909864;73909864;73910955;73910955;73910955;73911242;73911252;73911252	73908707;73908707;73908707;73909377;73909377;73909377;73909941;73909941;73909941;73911060;73911060;73911060;73911326;73911326;73911326	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	724	13750	16140	12539	16309	19146	20608
Pifo	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	105996957;105996957;105998272;105998272;105999528;105999528;106000372;106000372;106001098;106001098;106001327;106014428	105997199;105997199;105998389;105998389;105999658;105999658;106000470;106000470;106001243;106001243;106001497;106014646	-;-;-;-;-;-;-;-;-;-;-;-	1127	298	1302	185	187	74	276
Olfr1045	chr2	86197803	86198750	-	948	0	0	0	0	0	0
Olfr1049	chr2	86254765	86255691	-	927	0	0	0	0	0	0
Vsx1	chr2;chr2;chr2;chr2;chr2	150680702;150684411;150685594;150686148;150688516	150683266;150684588;150685717;150686226;150689137	-;-;-;-;-	3568	0	0	0	0	2	0
Fyco1	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	123789500;123789500;123794725;123794725;123797517;123797517;123801222;123801222;123819047;123819047;123822318;123822318;123823178;123823178;123825506;123825506;123826546;123826546;123827085;123827085;123828176;123828176;123831287;123831287;123833098;123833098;123834793;123834793;123838872;123838872;123840542;123840542;123843459;123843459;123845153;123851413;123851781	123792749;123792749;123794834;123794834;123797727;123797727;123801317;123801317;123819191;123819191;123822529;123822529;123823327;123823327;123825673;123825673;123826664;123826664;123827177;123827177;123830479;123830479;123831377;123831377;123833241;123833241;123834899;123834899;123838997;123838997;123840648;123840648;123843608;123843608;123845269;123851661;123851899	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8068	2033	1435	4075	5150	5858	4307
Tlr3	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	45395665;45395665;45395665;45397370;45397370;45397370;45400646;45400646;45400646;45402698;45402698;45402698;45408666;45408666;45408666;45409796;45409796;45410300;45410453;45410453	45397141;45397141;45397141;45399222;45399222;45399222;45400837;45400837;45400837;45403150;45403150;45403150;45408735;45408735;45408735;45409978;45409990;45410380;45410619;45410619	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4488	28139	52123	13559	23327	16595	22552
Olfr1444	chr19	12861777	12862736	+	960	0	0	0	0	0	0
Olfr150	chr9	39736817	39737755	+	939	0	0	0	0	0	0
Ifi44	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	151730923;151730923;151738223;151739320;151739320;151745491;151745491;151745793;151745793;151747618;151747618;151749145;151749145;151749836;151749836	151732553;151732553;151738323;151739491;151739491;151745637;151745637;151745988;151745988;151747654;151747654;151749644;151749644;151749910;151749910	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2859	804	2608	1858	2227	274	169
Trafd1	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	121371725;121371725;121371725;121372603;121372603;121372603;121373138;121373150;121373150;121373947;121373947;121373947;121375016;121375016;121375016;121375796;121375796;121375796;121377738;121377738;121377738;121378496;121378496;121378496;121379416;121379416;121379416;121379546;121379546;121379546;121384040;121384040;121384040;121385309;121385525;121385525	121372412;121372412;121372412;121372675;121372675;121372675;121373474;121373474;121373474;121374067;121374067;121374067;121375246;121375246;121375246;121375872;121375872;121375872;121377944;121377944;121377944;121378901;121378901;121378901;121379469;121379469;121379469;121379681;121379681;121379681;121384104;121384104;121384104;121385409;121385615;121385615	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2587	1717	2727	1578	2664	2013	2207
Erfl	chr7;chr7;chr7;chr7;chr7;chr7	24926959;24928487;24928703;24929134;24931568;24944415	24927887;24928604;24928898;24929368;24931647;24944771	-;-;-;-;-;-	1915	0	0	1	1	4	2
Krt80	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	101348315;101350169;101350996;101351674;101352177;101358647;101359480;101364210;101369755	101350039;101350224;101351216;101351799;101352341;101358742;101359540;101364418;101370162	-;-;-;-;-;-;-;-;-	3067	1935	2805	1249	2092	2737	3118
Armc8	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	99478391;99483100;99483966;99487864;99496151;99497243;99499293;99502512;99505265;99505650;99518245;99520487;99523139;99523139;99525353;99525353;99526891;99526891;99527079;99527079;99529331;99529331;99533098;99533098;99535795;99535795;99536163;99536163;99537688;99537688;99551543;99551543;99568602;99568602	99480777;99483193;99484038;99487959;99496246;99497392;99499385;99502598;99505346;99505732;99520582;99520582;99523339;99523339;99525413;99525413;99526981;99526981;99527154;99527154;99529411;99529411;99533190;99533190;99535892;99535892;99536305;99536305;99537759;99537759;99551619;99551619;99568899;99568899	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6870	3680	4881	3123	6043	6240	7372
Ppil4	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	7792894;7795644;7795797;7797758;7798415;7799553;7800734;7801845;7804956;7807271;7810362;7814664;7820952	7793020;7795711;7795861;7797875;7798557;7799649;7800850;7801969;7805022;7807382;7810458;7814811;7822563	+;+;+;+;+;+;+;+;+;+;+;+;+	2896	4467	4681	3795	6200	5133	6588
C530005A16Rik	chr4;chr4;chr4	116589733;116592843;116595842	116590273;116592948;116597630	-;-;-	2436	42	48	42	81	48	65
Katnbl1	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	112379211;112404161;112404758;112406074;112407586;112408383;112408524;112409141;112410143;112412383	112379357;112404276;112404798;112406353;112407704;112408433;112408613;112409230;112410236;112414237	+;+;+;+;+;+;+;+;+;+	2883	3948	4600	3485	4869	5750	6517
Gm21693	chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY;chrY	2900989;2904129;2904689;2905907;2907704;2908654;2910130;2911263;2911533;3294972;3295831;3297378;3298827;3299745;3301517;3302804;3303358;3306378;3326746;3327605;3328928;3330377;3331288;3333060;3334348;3334902;3345258;3367143;3368002;3369341;3370789;3371707;3373479;3374766;3375320;3378712	2901060;2904241;2904795;2906084;2907856;2908762;2910210;2911351;2912210;3295649;3295919;3297458;3298935;3299897;3301694;3302910;3303470;3306449;3327423;3327693;3329008;3330485;3331440;3333237;3334454;3335014;3345329;3367820;3368090;3369421;3370897;3371859;3373656;3374872;3375432;3378783	+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6320	0	0	0	0	0	0
